ORDER_ID,VERSION_NBR,ORDER_STATUS_TYPE_CD
47053846,1,PAYMENT_REQUESTED
48050047,1,PAYMENT_REQUESTED
46853230,1,PAYMENT_REQUESTED
48057929,1,PAYMENT_REQUESTED
48056447,1,PAYMENT_REQUESTED
48049287,1,PAYMENT_REQUESTED
48026948,1,PAYMENT_REQUESTED
48053537,1,PAYMENT_REQUESTED
48070241,1,PAYMENT_REQUESTED
48060096,1,PAYMENT_REQUESTED
48053528,1,PAYMENT_REQUESTED
48053473,1,PAYMENT_REQUESTED
48063311,1,PAYMENT_REQUESTED
48048378,3,PAYMENT_REQUESTED
48054214,1,PAYMENT_REQUESTED
48042098,1,PAYMENT_REQUESTED
48053173,1,PAYMENT_REQUESTED
48057523,1,PAYMENT_REQUESTED
48061455,1,PAYMENT_REQUESTED
48055933,1,PAYMENT_REQUESTED
48057911,1,PAYMENT_REQUESTED
48054046,1,PAYMENT_REQUESTED
48057037,1,PAYMENT_REQUESTED
48048793,1,PAYMENT_REQUESTED
48053194,1,PAYMENT_REQUESTED
48052143,1,PAYMENT_REQUESTED
48062830,1,PAYMENT_REQUESTED
48053762,1,PAYMENT_REQUESTED
48061267,1,PAYMENT_REQUESTED
48053218,1,PAYMENT_REQUESTED
48045466,1,PAYMENT_REQUESTED
48061645,1,PAYMENT_REQUESTED
48052262,1,PAYMENT_REQUESTED
48056596,1,PAYMENT_REQUESTED
48045372,1,PAYMENT_REQUESTED
48059159,1,PAYMENT_REQUESTED
48065976,2,PAYMENT_REQUESTED
48002847,2,PAYMENT_REQUESTED
48044305,1,PAYMENT_REQUESTED
48028090,1,PAYMENT_REQUESTED
48022130,1,PAYMENT_REQUESTED
48052975,1,PAYMENT_REQUESTED
48051991,1,PAYMENT_REQUESTED
48055858,1,PAYMENT_REQUESTED
48064712,1,PAYMENT_REQUESTED
48058584,1,PAYMENT_REQUESTED
48027445,1,PAYMENT_REQUESTED
46706968,1,PAYMENT_REQUESTED
48022228,2,PAYMENT_REQUESTED
48057319,1,PAYMENT_REQUESTED
48029215,1,PAYMENT_REQUESTED
48059741,1,PAYMENT_REQUESTED
48060591,1,PAYMENT_REQUESTED
48057050,1,PAYMENT_REQUESTED
48052350,1,PAYMENT_REQUESTED
48047052,1,PAYMENT_REQUESTED
48036000,1,PAYMENT_REQUESTED
48043747,1,PAYMENT_REQUESTED
48065480,1,PAYMENT_REQUESTED
48065570,1,PAYMENT_REQUESTED
48041728,1,PAYMENT_REQUESTED
48037646,1,PAYMENT_REQUESTED
48054810,1,PAYMENT_REQUESTED
48049288,1,PAYMENT_REQUESTED
48055110,1,PAYMENT_REQUESTED
48064464,1,PAYMENT_REQUESTED
48059527,1,PAYMENT_REQUESTED
48060467,1,PAYMENT_REQUESTED
48035365,1,PAYMENT_REQUESTED
44920197,1,PAYMENT_REQUESTED
48057533,1,PAYMENT_REQUESTED
48057248,1,PAYMENT_REQUESTED
48053772,1,PAYMENT_REQUESTED
48053408,1,PAYMENT_REQUESTED
48047972,1,PAYMENT_REQUESTED
48020943,1,PAYMENT_REQUESTED
48042474,1,PAYMENT_REQUESTED
48012552,1,PAYMENT_REQUESTED
48056725,1,PAYMENT_REQUESTED
43677000,1,PAYMENT_REQUESTED
47998124,1,PAYMENT_REQUESTED
48023695,1,PAYMENT_REQUESTED
48046115,1,PAYMENT_REQUESTED
48061356,1,PAYMENT_REQUESTED
48050671,1,PAYMENT_REQUESTED
48051634,1,PAYMENT_REQUESTED
48060740,1,PAYMENT_REQUESTED
48046015,1,PAYMENT_REQUESTED
48058560,1,PAYMENT_REQUESTED
48044688,1,PAYMENT_REQUESTED
48060805,1,PAYMENT_REQUESTED
48040797,1,PAYMENT_REQUESTED
48060423,1,PAYMENT_REQUESTED
48056148,1,PAYMENT_REQUESTED
48058280,1,PAYMENT_REQUESTED
48056752,1,PAYMENT_REQUESTED
48040686,1,PAYMENT_REQUESTED
48056080,1,PAYMENT_REQUESTED
